TRE,WECC,EIC
0.3096,2.2891,12.5609
0.2604,3.1758,12.8504
0.192,3.7273,11.7222
0.162,3.9794,9.3652
0.1404,3.9075,6.287
0.0936,3.5195,3.1324
2.64E-02,2.7393,0.5643
0,1.5041,0.0289
0,0.273,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.9273
0.0204,0.0004,4.2261
0.2076,0.2767,7.2192
0.4212,1.6684,9.8288
0.6,2.9994,11.6209
0.4788,3.9122,11.8063
0.36,4.4287,10.7643
0.3504,4.606,8.6892
0.3348,4.3824,5.4788
0.27,3.6736,2.4501
1.08E-01,2.5939,0.5756
0.0048,1.4245,0.0471
0,0.3013,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4954
0.078,0.0016,2.1033
0.4116,0.285,4.7322
0.6264,1.6451,7.2062
0.762,3.0097,8.7579
0.7812,4.0339,9.0466
0.7836,4.672,8.3959
0.7836,4.9335,6.9888
0.7092,4.6663,5.3925
0.5652,3.9941,3.2486
0.318,2.8793,1.1051
0.036,1.5389,0.0548
0,0.3237,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2565
0.162,0.0034,1.9506
0.5256,0.1277,4.4452
0.7536,0.8222,6.5594
0.8964,1.8068,8.2309
0.9708,2.7694,9.49
0.9804,3.5888,9.5851
0.9276,4.3618,9.2127
0.81,4.4925,6.6182
0.6192,4.0819,3.0814
3.41E-01,3.0928,0.7429
0.0396,1.6765,0.068
0,0.3683,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1.1481
0.132,0.0028,4.21
0.4848,0.2475,8.4737
0.7248,2.0064,12.2959
0.8796,3.3802,14.7031
0.9624,4.2669,15.4674
0.978,4.8504,14.8094
0.9312,5.1765,12.6194
0.8172,5.0845,9.3761
